TWEETS,KEYWORDS,FINE-GRAINED,REASONS
Studying every day...,studying every day,optimistic,Belief in the effectiveness of daily study habits is optimistic.
Group studies...,group studies,optimistic,Belief in the effectiveness of group studies is optimistic.
"Group studies, very effective...","group studies, very effective",optimistic,Belief in the effectiveness of group studies is optimistic.
Taking down personally notes and watching YouTube videos...,"taking notes, watching YouTube videos",optimistic,Belief in the effectiveness of note-taking and video learning is optimistic.
Following a timetable...,following a timetable,optimistic,Belief in the effectiveness of time management through a timetable is optimistic.
Asking friends to explain what was done in class...,"asking friends, explain, done in class",optimistic,Belief in the effectiveness of seeking friends' explanations is optimistic.
"I want a lot of breaks during studies, I can't study for long...","breaks, can't study for long",ambivalent,Ambivalence about studying for long periods without breaks.
Midnight studying...,midnight studying,optimistic,Belief in the effectiveness of studying at midnight is optimistic.
I don't have any strategies...,no strategies,neutral,Neutral description of study habits.
Repetitive learning...,repetitive learning,optimistic,Belief in the effectiveness of repetition for learning is optimistic.
I like to see (visualize) and appreciate what I'm studying...,"see, visualize, appreciate",optimistic,Belief in the effectiveness of visualizing and appreciating study material is optimistic.
Listening alone is not that okay for me. Group discussions...,"listening, not okay, group discussions",ambivalent,Ambivalence about the effectiveness of solo listening versus group discussions.
Trying to understand at once...,trying to understand at once,neutral,Neutral description of study habits.
Been reading each and every day and it has been of great importance,reading,optimistic,Expresses a positive attitude towards daily reading.
It's been very cool for me.,cool,delighted,Indicates a sense of delight or satisfaction in the experience.
"Attending lectures, teaching someone and focused personal learning","attending, teaching, focused personal learning",ambivalent,Mixed feelings â€“ mentions positive actions but doesn't express a clear attitude.
Iâ€™ve not yet drawn a strategy plan,strategy plan,neutral,"Indicates a lack of a specific attitude, neither positive nor negative."
I tend to see how it will help me in inventing something innovative,"help, inventing, innovative",optimistic,Shows optimism and an intent to use learning for innovation.
I do well to revise immediately after lessons during free periods and I have designed an effective and strategic timetable.,"revise, effective, strategic timetable",optimistic,"Expresses a proactive approach to studying with positive words like ""effective"" and ""strategic."""
Online studies,online studies,neutral,Indicates the mode of learning but doesn't express a specific attitude.
Reading the thing twice and trying to recall on the third count,"reading, recall",neutral,Describes a learning method without expressing a clear attitude.
Group studies and the use of my dictionary enhance my understanding,"group studies, dictionary, enhance understanding",optimistic,Highlights the positive impact of group studies and dictionary use on understanding.
"I haven't thought about that, I just learn when am in the mood","learn, mood",ambivalent,"Indicates a relaxed approach to learning, dependent on mood."
Watching YouTube videos on topics Iâ€™ll be studying in class makes the topic more understandable for me.,"YouTube, topics, understandable",optimistic,Shows a proactive approach using YouTube for better comprehension.
"""I usually learn by reading notes as if I'm teaching it to someone.","learn, reading notes, teaching",ambivalent,Describes a learning method but doesn't express a clear attitude.
Reading over notes after class and trying to solve problems with such info I gather.,"reading, solve problems",optimistic,"Indicates a proactive approach to learning, emphasizing problem-solving."
Learning with peers,learning with peers,optimistic,Suggests a positive attitude towards collaborative learning.
Trial and error,trial and error,ambivalent,Describes a method but doesn't express a clear attitude.
"I realized that I am very effective at night when it comes to studies and when I study with a goal in mind. So before I study, I fantasize about the kind of life I will love to have, and then it fuels me to study harder","effective, night, goal, fantasize, study harder",optimistic,Expresses a proactive approach to night studying with clear goals and motivation.
Overnight studies,overnight studies,neutral,Indicates the timing of studies but doesn't express a specific attitude.
30 min full attention 10 mins break for 2h:30mins. Writing also helps,"full attention, break, writing",neutral,Describes a study routine and techniques but doesn't express a specific attitude.
Studying in the night and with some friends. It helped me boost my CWA one semester ago.,"night, friends, boost CWA",optimistic,Highlights the positive impact of night studying with friends on academic performance.
Taking intermittent breaks every hour,intermittent breaks,neutral,Describes a study strategy without expressing a clear attitude.
2 hours max of studyingâ€¦.fairly effective,"2 hours max, fairly effective",neutral,Describes a study duration and its effectiveness without expressing a specific attitude.
